Product,Category,BasePrice,Q1,Q2,Q3,Q4
Canon EOS R5,Camera,3899,3699,3599,3499,3299
Nikon Z6 III,Camera,3596,3396,3296,3200,3000
Sony A7R V,Camera,3198,2998,2898,2798,2598
Canon RF 24-70mm,Lens,1499,1399,1299,1199,999
Nikon Z 24-70mm,Lens,1099,999,949,899,799
Sony FE 24-70mm,Lens,1398,1298,1198,1098,998
Manfrotto Pro Tripod,Accessory,299,279,259,239,199
Peak Design Backpack,Accessory,199,179,159,139,99
Rode Wireless Mic Kit,Accessory,299,269,249,219,189
SanDisk Extreme SD Card,Storage,89,79,69,59,49
Lexar Professional SD Card,Storage,99,89,79,69,59
